title,price,transaction_type,governorate,delegation,area_m2,bedrooms,bathrooms,subcategory,publisher_name,is_shop,published_on,description,detail_url
Bel appartement S+2 lumineux à Laouina – emplacement recherché,850.0,À Louer,Tunis,7 Avenue de l'independance,105,2,1,flat,Mehdi Othmani,False,2026-04-04,"A louer, appartement S+2 de 105 m², situe au 1er etage d’une petite residence calme a Cite Taieb Mhiri, Laouina. Il se compose d’un salon lumineux, deux chambres, une cuisine equipee avec chaudiere et une salle d’eau avec douche. L’appartement est equipe de radiateurs assurant un bon confort thermique en hiver. Proche de toutes commodites, dans un environnement pratique et agreable. Residence sans ascenseur ni parking. Disponible a partir du 1er mai 2026. Conditions : 1 mois de caution + 1 mois de loyer. Priorite donnee a une petite famille. Contact WhatsApp : +49 157 3831 9980",https://www.houni.tn/en/property/rent/flat/tunis/le-kram/el-bouhaira/bel-appartement-s+2-lumineux-a-laouina-–-emplaceme/pyhz2
Appartement s2 avec terrasse à La Marsa,3300.0,À Louer,Tunis,La Marsa,1,2,3,flat,La croisette immobilière,False,2026-03-04,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+2 occupant le rez-de-chaussee d’une residence gardee a La Marsa. Ce dernier est compose par un salon-salle a manger donnant sur une terrasse, d'une cuisine fermee amenagee et equipee, d'une salle d'eau invites et de deux suites dont une avec jacuzzi. L'appartement est equipe du chauffage central et de climatiseurs et dispose d’un cellier et d'une place de parking. ref:MAL2157",https://www.houni.tn/en/property/rent/flat/tunis/bab-el-bhar/lac-de-tunis/appartement-s2-avec-terrasse-a-la-marsa/33ep6v
Appartement s1 meublé à La Marsa ZAL1219,1700.0,À Louer,Tunis,La Marsa,1,1,1,flat,La croisette immobilière,False,2026-04-04,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+1 meuble occupant le rez-de-chaussee d'une petite residence gardee a Sidi Daoud, La Marsa. Ce dernier se compose d'un salon donnant sur une terrasse, d'une cuisine americaine equipee, d'une chambre a coucher avec dressing et d'une salle de bain. L'appartement est equipe du chauffage central et de climatiseurs. ref:ZAL1219",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/el-bahr-el-azrak/appartement-s1-meuble-a-la-marsa-zal1219/o8ezpf
Appartement s2 aux Jardins de Carthage,2000.0,À Louer,Tunis,Jardins de carthage,1,2,1,flat,La croisette immobilière,False,2026-04-03,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+2 occupant le rez-de-chaussee d’une residence gardee aux Jardins de Carthage. Ce dernier est compose d'un salon donnant sur un balcon, d'une cuisine amenagee et equipee attenante a un sechoir, d'une salle de bain et de deux chambres a coucher. L'appartement est equipe du chauffage central et de climatiseurs et dispose d'une place de parking au sous-sol ref:MAL2169",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/la-marsa-erriadh/appartement-s2-aux-jardins-de-carthage/10k5ti
Triplex s4 avec piscine à Gammarth,5500.0,À Louer,Tunis,Gammarth,1,4,4,house,La croisette immobilière,False,2026-04-03,"La Croisette Immobiliere Tunisie vous propose a la location un triplex meuble independant S+4 avec piscine situe dans un quartier residentiel a Gammarth. Ce dernier est compose comme suit : Au rez-de-chaussee : un salon-salle a manger donnant sur le jardin, une cuisine amenagee et equipee attenante a un sechoir, un debarras et une salle d'eau invites. Au premier etage : une suite avec balcon, deux chambres a coucher et une salle de bain. Au deuxieme etage : une deuxieme suite et une terrasse avec piscine. Le triplex est equipe du chauffage central et de climatiseurs et dispose d’un ascenseur et de deux places de parking. ref:ZTRL0106",https://www.houni.tn/en/property/rent/house/tunis/la-marsa/gammarth/triplex-s4-avec-piscine-a-gammarth/piacu6
Appartement s2 avec jardin à La Soukra,1800.0,À Louer,Ariana,La Soukra,1,2,2,flat,La croisette immobilière,False,2026-04-02,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+2 occupant le rez-de-chaussee d'une petite residence gardee a La Soukra. Ce dernier se compose d'un salon-salle a manger donnant sur une terrasse et un petit jardin, d'une cuisine amenagee et equipee attenante a un sechoir, d'une salle d'eau invites, de deux chambres a coucher avec dressings et d'une salle de bain. L'appartement est equipe de la climatisation et du chauffage central et dispose d'une place de parking au sous-sol. ref:MAL1538",https://www.houni.tn/en/property/rent/flat/ariana/soukra/soukra/appartement-s2-avec-jardin-a-la-soukra/xnjbgr
Triplex s4 avec jardin à Ain Zaghouan nord MTRL0047,4300.0,À Louer,Tunis,Ain Zaghouan nord,1,4,3,house,La croisette immobilière,False,2026-04-01,"La Croisette Immobiliere Tunisie vous propose a la location un triplex S+4 avec jardin situee dans une residence gardee a Ain Zaghouan Nord. La batisse se compose comme suit : Au rez-de-chaussee : un grand salon-salle a manger donnant sur le jardin, une cuisine amenagee entierement equipee attenante a un sechoir et une salle d'eau invites. A l’etage : une suite, trois chambres a coucher avec dressings et une salle de bain communes . Le triplex est equipe par chauffage central et de climatiseurs et dispose d'un espace de rangement et d'une place de parking au sous-sol. L'exterieur est complete d'un grand jardin gazonne et d’un garage. ref:MTRL0047",https://www.houni.tn/en/property/rent/house/tunis/la-marsa/la-marsa-erriadh/triplex-s4-avec-jardin-a-ain-zaghouan-nord-mtrl004/biea3a
Appartement s1 meublé aux Jardins de Carthage,1800.0,À Louer,Tunis,Jardins de Carthage,1,1,1,flat,La croisette immobilière,False,2026-04-01,"La Croisette Immobiliere Tunisie vous propose a la location un appartement meuble S+1 occupant le troisieme etage d’une residence gardee aux jardins de Carthage. Ce dernier est compose d'un salon donnant sur un balcon et d'une cuisine ouverte amenagee et equipee attenante a un sechoir, d'une chambre a coucher avec dressing et d'une salle d'eau avec douche.. L'appartement est equipe du chauffage central et de climatiseurs et dispose d’une place de parking au sous-sol. ref:MAL1328",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/la-marsa-plage/appartement-s1-meuble-aux-jardins-de-carthage/dj1hyl
Villa s6 avec piscine à La Marsa MVL0094,4000.0,À Louer,Tunis,La Marsa,1,6,4,house,La croisette immobilière,False,2026-04-01,"La Croisette immobiliere Tunisie vous propose a la location une villa S+6 avec piscine situee dans un quartier residentiel a La Marsa. La batisse se compose comme suit : Au rez-de-chaussee : un grand salon-salle a manger qui donne sur le jardin et la piscine, un sejour ferme, une cuisine moderne amenagee et equipee, deux chambres a coucher et une salle d'eau invites. A l'etage : une suite parentale, une suite junior, deux chambre a coucher et une salle de bain. Au sous-sol : un garage pour quatre voitures, un hammam et un sejour. La villa es equipee du chauffage central et de climatiseurs et dispose d'un jardin, d'une piscine et d'une grande terrasse. ref:MVL0094",https://www.houni.tn/en/property/rent/house/tunis/la-marsa/la-marsa-erriadh/villa-s6-avec-piscine-a-la-marsa-mvl0094/spgt0
Appartement S+3 avec vue mer à louer - près de l'hôtel Riadh Palms,1900.0,À Louer,Tunis,Khzema  est,200,3,2,flat,immobiliere Internationale,False,2026-03-31,✨Appartement S+3 avec vue mer a louer - pres de l'hotel Riadh Palms ✨ 𝑳’𝒊𝒎𝒎𝒐𝒃𝒊𝒍𝒊e𝒓𝒆 𝒊𝒏𝒕𝒆𝒓𝒏𝒂𝒕𝒊𝒐𝒏𝒂𝒍𝒆 -𝑻𝒖𝒏𝒊𝒔𝒊𝒆 propose a louer a l'annee👉Appartement en S+3 avec vue sur la mer dans un immeuble residentiel avec ascenseur 📍 sur la route touristique pres de l'hotel Riadh Palms . Compose de : ▪ Un sejour spacieux et lumineux donnant sur une Terrasse ▪ Trois chambres (chacune avec son propre balcon) ▪ Une cuisine entierement equipee ▪ Deux salles de bains et une salle d’eau Cet appartement bien equipee par : ▪ Climatisation ▪ Chauffage central ▪ Parking Prix de location : 1900 DT (Mois) 💰 📌Des options de location meublee ou non meublee sont disponibles. Merci de nous contacter 📞 𝟱𝟱 𝟱𝟮𝟴 𝟭𝟬𝟮 – 𝟱𝟯 𝟱𝟮𝟴 𝟴𝟴𝟵 Disponible WhatsApp 🌏 +𝟮𝟭𝟲 𝟱𝟱 𝟱𝟮𝟴 𝟭𝟬𝟮 – +𝟮𝟭𝟲 𝟱𝟯 𝟱𝟮𝟴 𝟴𝟴𝟵 🌐 www.immo-internationale.com.tn 📧 immo.internationale@gmail.com,https://www.houni.tn/en/property/rent/flat/tunis/bab-el-bhar/lac-de-tunis/appartement-s+3-avec-vue-mer-a-louer-pres-de-l-h/g9dmi5
Appartement S+2 bien meublé,450.0,À Louer,Kairouan,126 Rue Koronfol (Rue des Oeillets),60,2,1,flat,Mme Hela,False,2026-04-01,"a louer, un appartement S+2 bien meuble, situe au 1er etage, dans un quartier calme, cite El Mansoura (Kairouan Sud), a seulement 3-4 minutes a pied de la rue principale (Avenue Beit El Hikma) ainsi que la station de bus et la manufacture des tabacs (MTK). 126 Rue Koronfol (Rue des Oeillets), Mansoura, 3100, Kairouan compose d'un salon, 2 chambres a coucher, une cuisine equipee, une salle de bain et une terrasse spacieuse. N'hesitez pas a nous contacter pour plus d'information: 98 933 997",https://www.houni.tn/en/property/rent/flat/kairouan/kairouan-sud/el-mansoura-sud/appartement-s+2-bien-meuble/fz6uh
Villa s4 avec jardin à Carthage,7000.0,À Louer,Tunis,Carthage,1,4,3,house,La croisette immobilière,False,2026-03-31,"La Croisette Immobiliere Tunisie vous propose a la location une villa S+4 situee dans un quartier residentiel a Carthage. La batisse se compose comme suit : Au rez-de-chaussee : un salon-salle a manger spacieux donnant sur le jardin, une cuisine amenagee entierement equipee avec un coin repas et une suite pour les invites. A l’etage : deux suites, une chambre a coucher avec dressing et une grande terrasse. La villa est equipee du chauffage central et de climatiseurs. L'exterieur est complete d'un grand jardin, d'un studio, d'un abri et d'une entree pour trois voitures. ref:mvl0091",https://www.houni.tn/en/property/rent/house/tunis/carthage/amilcar/villa-s4-avec-jardin-a-carthage/zlm8in
Appartement s2 aux Jardins de Carthage MAL2168,2500.0,À Louer,Tunis,Jardins de Carthage,1,2,2,flat,La croisette immobilière,False,2026-03-31,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+2 situee dans une residence gardee aux Jardins de Carthage. Ce dernier est compose d'un salon donnant sur un balcon, d'une cuisine amenagee et equipee attenante a un sechoir, d'une salle d'eau invites, de deux chambres a coucher et d'une salle de bain. L'appartement est equipe du chauffage central et de climatiseurs. La residence dispose d'une piscine et d'une salle de sport. ref:MAL2168",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/la-marsa-erriadh/appartement-s2-aux-jardins-de-carthage-mal2168/65gee9
Appartement s2 meublé à Ain Zaghouan nord,2300.0,À Louer,Tunis,Ain Zaghouan nord,130,2,1,flat,La croisette immobilière,False,2026-03-31,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+2 meuble occupant le troisieme etage d'une residence gardee a Ain Zaghouan Nord. Ce dernier est compose d'un salon-salle a manger donnant sur un balcon, d'une cuisine amenagee et equipee attenante a un sechoir, de deux chambres a coucher et d'une salle de bain. L'appartement est equipe du chauffage central et de climatiseurs et dispose d'une place de parking. ref:ZAL2175",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/la-marsa-erriadh/appartement-s2-meuble-a-ain-zaghouan-nord/kfhzvt
"A Louer Appartement S+4 Vide Au 2ᵉ étage, Situé Au Centre-ville De Nabeul",800.0,À Louer,Nabeul,Centre-ville de nabeul,140,4,2,flat,Leboulevard Immobilier,False,2026-03-31,"L’agence immobiliere le boulevard vous propose : #Location_annuelle Reference : 1468a Un appartement S+4 vide au 2ᵉ etage, situe au centre-ville de Nabeul, pres de Magasin General Il se compose d'un salon, 4 chambres a coucher, une cuisine avec sechoir et 2 salles d’eau. • Chauffage central • 15minutes de la plage a pied • Pres de toutes les commodites (Banque, lycee, salle de sport, magasins, restaurant…) • Prix : 800 DT/mois Pour plus d'informations, contactez-nous sur : Telephone : 29698992|55982862 | 22232885 WhatsApp : (216) 29698992| (216)55982862| (216) 22232885 E-mail : leboulevardimmobilier@gmail.com Site web : https://leboulevardimmo.com/bien/details/130833-appartement-s4-vide-situe-au-centre-ville-de-nabeul",https://www.houni.tn/en/property/rent/flat/nabeul/nabeul/el-hadayek/a-louer-appartement-s+4-vide-au-2ᵉ-etage-situe-au/bzpjg8
Duplex meublé s2 avec terrasse à Gammarth,3700.0,À Louer,Tunis,Gammarth,181,2,2,house,La croisette immobilière,False,2026-03-31,"La Croisette immobiliere Tunisie vous propose a la location un duplex meuble S+2 avec terrasse occupant le premier etage d'une residence gardee a Gammarth superieur. Ce dernier est compose comme suit : Au rez-de-chaussee : un salon, une cuisine ouverte amenagee et equipee et une salle d'eau avec douche. A l'etage : deux chambres a coucher dont une avec terrasse et une salle de bain. Le duplex est equipe du chauffage central et de climatiseurs. ref:MDL0643",https://www.houni.tn/en/property/rent/house/tunis/la-marsa/gammarth/duplex-meuble-s2-avec-terrasse-a-gammarth/ozsd1
Villa s4 à Carthage MVL0090,6000.0,À Louer,Tunis,carthage,1,4,3,house,La croisette immobilière,False,2026-03-30,"La Croisette Immobiliere Tunisie vous propose a la location une villa S+4 avec jardin situee dans un quartier residentiel a Carthage. La batisse se compose comme suit : Au rez-de-chaussee : un salon-salle a manger, une cuisine amenagee et equipee, un sejour ferme, une salle d'eau invites et une terrasse. A l'etage : une suite, trois chambres a coucher et une salle de bain. A l'exterieur : un jardin et un abri pour deux voitures. La villa est equipee du chauffage central et de climatiseurs. ref:MVL0090",https://www.houni.tn/en/property/rent/house/tunis/carthage/amilcar/villa-s4-a-carthage-mvl0090/fxhrnd
Appartement s2 meublé aux Jardins de Carthage,4500.0,À Louer,Tunis,Jardins de Carthage,1,2,1,flat,La croisette immobilière,False,2026-03-30,"La Croisette Immobiliere Tunisie vous propose a la location un appartement meuble S+2 situe dans une residence gardee aux Jardins de Carthage Ce dernier est compose d'un salon donnant sur une terrasse, d'une cuisine equipee attenante a un sechoir, de deux chambres a coucher avec dressings et d'une salle de bain. L'appartement est equipe du chauffage central et de climatiseurs et dispose d’une place de parking. ref:MAL2170",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/la-marsa-plage/appartement-s2-meuble-aux-jardins-de-carthage/t6ju0n
Location Annuelle : Villa Triplex S+5 Avec Piscine à Hammamet Nord,4000.0,À Louer,Nabeul,Hammamet Nord,2410,5,3,house,Leboulevard Immobilier,False,2026-03-30,"L’agence immobiliere le boulevard vous propose : #Location annuelle #Reference : 1467a Une villa triplex S+5 avec piscine, situee a Hammamet Nord, pres du palais presidentiel L'entree donne sur un lumineux salon donnant sur la piscine, une cuisine bien equipe, une chambre a coucher et salle d'eau. Au 1er etage on trouve une suite parentale avec salle d’eau, dressing et balcon vue sur mer, 2 chambres a coucher avec terrasse et salle d’eau. Au 2eme etage on a une chambre a coucher et une grande terrasse vue sur mer. • Toutes les chambres sont climatisees • Chauffage centrale • Abri de voiture • Jardin avec piscine • 05 minutes de la plage a pied • Prix : 4 000DT Pour plus d'informations, contactez-nous sur : Telephone : 29698992|55982862 | 22232885 WhatsApp : (216) 29698992| (216)55982862| (216) 22232885 E-mail : leboulevardimmobilier@gmail.com Site web : https://leboulevardimmo.com/bien/details/130776-villa-triplex-s5-avec-piscine-situee-a-hammamet-nord",https://www.houni.tn/en/property/rent/house/nabeul/hammamet/mrezga/location-annuelle-villa-triplex-s+5-avec-piscine/n3rdaa
"À Louer Villa duplex S+3 très haut standing, jamais habitée à Hammamet Nord",2500.0,À Louer,Nabeul,Hammamet Nord,300,3,4,house,Leboulevard Immobilier,False,2026-03-30,"L’agence immobiliere Le Boulevard vous propose : #Location annuelle #Reference : 1463a Une villa duplex nouvellement construite, de tres haut standing, jamais habitee, situee a Hammamet Nord, ideale pour les amateurs de confort et de luxe. Cette villa duplex S+3, se compose d'un spacieux salon et salle a manger, salle d’eau pour les invites, 3 suites parentale (avec salle d’eau, dressing et terrasse vue sur mer), une cuisine independante et bien equipe, garage ouvert et un jardin. • Toutes les pieces sont climatisees • Chauffage central • Meubles au choix • Garage • Jardin • Cameras de surveillance • A 700 metres de carrefour kharouba Hammamet • Proche de toutes les commodites (Magasin, banque, restaurant, transport, etc.) • Prix : 2 500TND Pour plus d'informations, contactez-nous sur : Telephone : 29698992 | 55982862 | 22232885 WhatsApp (216) 29698992| (216)55982862| (216) 22232885 E-mail : leboulevardimmobilier@gmail.com Site web : https://www.leboulevardimmo.com/bien/details/130385-villa-duplex-s3-haut-standing-a-kharrouba-hammamet-nord",https://www.houni.tn/en/property/rent/house/nabeul/hammamet/hammamet-ouest/a-louer-villa-duplex-s+3-tres-haut-standing-jamai/04aaqp
Appartement s2 meublé à La Marsa,1850.0,À Louer,Tunis,La Marsa,1,2,2,flat,La croisette immobilière,False,2026-03-30,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+2 meuble situee dans une residence gardee a La Marsa. Ce dernier est compose d'un salon donnant sur un balcon, d'une cuisine amenagee et equipee attenante sur un sechoir, d'une salle d'eau invites, de deux chambre a coucher et d'une salle de bain. L'appartement est equipe du chauffage central et de climatiseurs. ref:MAL4470",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/la-marsa-erriadh/appartement-s2-meuble-a-la-marsa/36ghe
